Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,exchange,ACT Symbol,Exchange,CQS Symbol,NASDAQ Symbol,act_symbol_backup,cqs_symbol_backup
ASRT,"Assertio Holdings, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ASRV,AmeriServ Financial Inc. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ASST,"Strive, Inc. - Class A Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ASTC,Astrotech Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ASTE,"Astec Industries, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ASTH,Astrana Health Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ASTI,"Ascent Solar Technologies, Inc - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ASTL,Algoma Steel Group Inc. - Common Shares,G,N,N,100,N,N,NASDAQ,,,,,,
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ASYS,"Amtech Systems, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ATAI,ATAI Life Sciences N.V. - Common Shares,G,N,N,100,N,N,NASDAQ,,,,,,
ATEC,"Alphatec Holdings, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ATEX,Anterix Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ATGL,Alpha Technology Group Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ATHA,"Athira Pharma, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ATII,Archimedes Tech SPAC Partners II Co. - Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
ATLC,Atlanticus Holdings Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ATLN,Atlantic International Corp. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ATLO,Ames National Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ATLX,Atlas Lithium Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ATMC,AlphaTime Acquisition Corp - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ATMV,AlphaVest Acquisition Corp - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ATNI,"ATN International, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ATOM,Atomera Incorporated - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ATON,AlphaTON Capital Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ATOS,"Atossa Therapeutics, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ATPC,Agape ATP Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ATRA,"Atara Biotherapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ATRC,"AtriCure, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ATRO,Astronics Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ATXG,Addentax Group Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ATXS,"Astria Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AUBN,"Auburn National Bancorporation, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AUDC,AudioCodes Ltd. - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
AUGO,Aura Minerals Inc. - Common Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
AUID,authID Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
AUPH,Aurinia Pharmaceuticals Inc - Common Shares,G,N,N,100,N,N,NASDAQ,,,,,,
AUR,"Aurora Innovation, Inc.  - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AURA,"Aura Biosciences, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
